Title,Year
Wrath of Man,2021
Mortal Kombat,2021
Wasp Network,2019
Spirit Untamed,2021
Dream Horse,2021
Fear Street Part Two: 1978,2021
Tom & Jerry,2021
Zeroville,2019
Cats and Peachtopia,2018
If I were a boy (Si j'étais un homme),2017
Hard Kill,2020
Till Death,2021
Raya and the Last Dragon,2021
The Star,2017
Palmer,2021
Playing for Keeps,2012
Tenet,2020
Chaos Walking,2021
Sniper: Legacy,2014
New Biz in the Hood (Jusqu'ici tout va bien),2019
I'm Your Woman,2020
The Legacy of the Bones (Legado en los huesos),2019
The Tomorrow War,2021
Not Suitable For Children,2012
"Honey, I Shrunk the Kids",1989
Flora & Ulysses,2021
Hot Dog,2018
Ava,2020
The War with Grandpa,2020
Jurassic Attack,2012
The Banker,2020
Once Upon a Time in London,2019
French Exit,2021
"Take the Ball, Pass the Ball",2018
It Begins with the End (Ça commence par la fin),2010
Four Against the Bank (Vier gegen die Bank),2016
L'Ex de ma vie,2014
Alex Cross,2012
Les Anarchistes,2015
Mister Happiness (Mister Felicità),2017
Grand Piano,2013
Little Murder,2011
Fatherhood,2021
Becky,2020
Fear Street Part One: 1994,2021
Train to Busan Presents: Peninsula (Peninsula),2020
Fractured,2013
Dreamfactory (Traumfabrik),2019
Bleeding Heart,2015
After the Wedding,2019
Together Together,2021
The Ice Road,2021
Those Who Wish Me Dead,2021
School's Out Forever,2021
Cosmic Sin,2021
To: Gerard,2020
Voyagers,2021
"Cyrano, My Love (Edmond)",2019
Department Q: A Conspiracy of Faith (Flaskepost fra P),2016
Wish Dragon,2021
Nobody,2021
New Gods: Nezha Reborn,2021
Charm City Kings,2020
Thunder Force,2021
The Courier,2021
Journal 64,2018
